Depth,Train_ME,Train_Gini,Train_Entropy,Test_ME,Test_Gini,Test_Entropy
1,0.109,0.109,0.119,0.117,0.117,0.125
2,0.104,0.104,0.106,0.109,0.109,0.111
3,0.096,0.093,0.101,0.114,0.115,0.107
4,0.083,0.075,0.079,0.117,0.121,0.120
5,0.071,0.060,0.061,0.120,0.134,0.128
6,0.065,0.047,0.047,0.122,0.149,0.138
7,0.062,0.035,0.035,0.122,0.157,0.147
8,0.056,0.027,0.029,0.128,0.164,0.150
9,0.049,0.021,0.023,0.132,0.172,0.159
10,0.042,0.017,0.017,0.139,0.174,0.161
11,0.037,0.015,0.014,0.146,0.175,0.162
12,0.030,0.014,0.014,0.153,0.176,0.164
13,0.025,0.014,0.014,0.161,0.176,0.165
14,0.020,0.014,0.014,0.167,0.176,0.165
15,0.016,0.014,0.014,0.168,0.176,0.165
16,0.014,0.014,0.014,0.170,0.176,0.165
