Depth,Train_ME,Train_Gini,Train_Entropy,Test_ME,Test_Gini,Test_Entropy
1,0.109,0.109,0.119,0.117,0.117,0.125
2,0.105,0.105,0.106,0.110,0.110,0.111
3,0.098,0.101,0.102,0.114,0.108,0.109
4,0.086,0.088,0.087,0.116,0.115,0.116
5,0.078,0.074,0.071,0.117,0.127,0.127
6,0.072,0.057,0.057,0.122,0.135,0.135
7,0.069,0.045,0.045,0.123,0.149,0.143
8,0.066,0.037,0.039,0.125,0.150,0.147
9,0.061,0.029,0.032,0.129,0.160,0.155
10,0.056,0.025,0.026,0.133,0.166,0.164
11,0.051,0.022,0.023,0.138,0.164,0.161
12,0.045,0.022,0.022,0.141,0.165,0.162
13,0.037,0.022,0.022,0.147,0.165,0.161
14,0.031,0.022,0.022,0.151,0.165,0.161
15,0.026,0.022,0.022,0.157,0.165,0.161
16,0.022,0.022,0.022,0.157,0.165,0.161
