Weight vector: [[ 0.90032473  0.78604619  0.85077613  1.29870263  0.1298506   1.57192678
   0.99844888 -0.01520158]]
Learning rate: 0.75
Step	Cost
0	[22.32514968]
1	[18.27946891]
2	[16.9819944]
3	[16.34285072]
4	[15.99967548]
5	[15.80094642]
6	[15.67721713]
7	[15.59496393]
8	[15.53722612]
9	[15.49497461]
10	[15.46311442]
11	[15.43858053]
12	[15.41940702]
13	[15.40425829]
14	[15.39218388]
15	[15.38248382]
16	[15.37463032]
17	[15.36821918]
18	[15.36293776]
19	[15.35854275]
20	[15.35484408]
21	[15.35169292]
22	[15.34897256]
23	[15.3465914]
24	[15.34447752]
25	[15.34257442]
26	[15.34083773]
27	[15.33923256]
28	[15.3377315]
29	[15.33631303]
30	[15.33496021]
31	[15.33365975]
32	[15.33240118]
33	[15.33117628]
34	[15.3299786]
35	[15.32880305]
36	[15.32764565]
37	[15.32650324]
38	[15.32537337]
39	[15.32425408]
40	[15.32314384]
41	[15.32204145]
42	[15.32094596]
43	[15.31985663]
44	[15.31877286]
45	[15.31769418]
46	[15.31662023]
47	[15.31555072]
48	[15.31448542]
49	[15.31342413]
50	[15.31236671]
51	[15.31131306]
52	[15.31026306]
53	[15.30921664]
54	[15.30817374]
55	[15.30713431]
56	[15.30609831]
57	[15.3050657]
58	[15.30403645]
59	[15.30301053]
60	[15.30198793]
61	[15.30096861]
62	[15.29995257]
63	[15.29893979]
64	[15.29793025]
65	[15.29692393]
66	[15.29592084]
67	[15.29492094]
68	[15.29392423]
69	[15.29293071]
70	[15.29194035]
71	[15.29095315]
72	[15.28996909]
73	[15.28898817]
74	[15.28801038]
75	[15.2870357]
76	[15.28606412]
77	[15.28509564]
78	[15.28413025]
79	[15.28316793]
80	[15.28220867]
81	[15.28125247]
82	[15.28029932]
83	[15.2793492]
84	[15.27840211]
85	[15.27745803]
86	[15.27651696]
87	[15.27557888]
88	[15.2746438]
89	[15.27371169]
90	[15.27278255]
91	[15.27185636]
92	[15.27093313]
93	[15.27001284]
94	[15.26909548]
95	[15.26818104]
96	[15.26726951]
97	[15.26636089]
98	[15.26545515]
99	[15.26455231]
100	[15.26365233]
101	[15.26275523]
102	[15.26186098]
103	[15.26096958]
104	[15.26008101]
105	[15.25919528]
106	[15.25831237]
107	[15.25743227]
108	[15.25655497]
109	[15.25568046]
110	[15.25480874]
111	[15.2539398]
112	[15.25307362]
113	[15.2522102]
114	[15.25134954]
115	[15.25049161]
116	[15.24963641]
117	[15.24878394]
118	[15.24793418]
119	[15.24708713]
120	[15.24624278]
121	[15.24540111]
122	[15.24456213]
123	[15.24372581]
124	[15.24289216]
125	[15.24206117]
126	[15.24123282]
127	[15.24040711]
128	[15.23958403]
129	[15.23876357]
130	[15.23794572]
131	[15.23713048]
132	[15.23631783]
133	[15.23550777]
134	[15.23470029]
135	[15.23389538]
136	[15.23309304]
137	[15.23229325]
138	[15.23149601]
139	[15.2307013]
140	[15.22990913]
141	[15.22911948]
142	[15.22833234]
143	[15.22754771]
144	[15.22676558]
145	[15.22598594]
146	[15.22520879]
147	[15.2244341]
148	[15.22366189]
149	[15.22289213]
150	[15.22212483]
151	[15.22135997]
152	[15.22059754]
153	[15.21983754]
154	[15.21907997]
155	[15.2183248]
156	[15.21757204]
157	[15.21682168]
158	[15.2160737]
159	[15.21532811]
160	[15.2145849]
161	[15.21384405]
162	[15.21310556]
163	[15.21236942]
164	[15.21163562]
165	[15.21090416]
166	[15.21017503]
167	[15.20944823]
168	[15.20872374]
169	[15.20800155]
170	[15.20728166]
171	[15.20656407]
172	[15.20584876]
173	[15.20513573]
174	[15.20442497]
175	[15.20371648]
176	[15.20301024]
177	[15.20230625]
178	[15.2016045]
179	[15.20090499]
180	[15.2002077]
181	[15.19951263]
182	[15.19881978]
183	[15.19812914]
184	[15.19744069]
185	[15.19675444]
186	[15.19607037]
187	[15.19538848]
188	[15.19470876]
189	[15.1940312]
190	[15.19335581]
191	[15.19268256]
192	[15.19201146]
193	[15.19134249]
194	[15.19067566]
195	[15.19001095]
196	[15.18934836]
197	[15.18868787]
198	[15.18802949]
199	[15.18737321]
200	[15.18671901]
201	[15.1860669]
202	[15.18541687]
203	[15.1847689]
204	[15.184123]
205	[15.18347916]
206	[15.18283737]
207	[15.18219762]
208	[15.1815599]
209	[15.18092422]
210	[15.18029057]
211	[15.17965893]
212	[15.1790293]
213	[15.17840168]
214	[15.17777605]
215	[15.17715242]
216	[15.17653077]
217	[15.17591111]
218	[15.17529342]
219	[15.17467769]
220	[15.17406392]
221	[15.17345211]
222	[15.17284225]
223	[15.17223433]
224	[15.17162835]
225	[15.17102429]
226	[15.17042216]
227	[15.16982195]
228	[15.16922365]
229	[15.16862725]
230	[15.16803275]
231	[15.16744015]
232	[15.16684943]
233	[15.1662606]
234	[15.16567364]
235	[15.16508855]
236	[15.16450532]
237	[15.16392395]
238	[15.16334443]
239	[15.16276675]
240	[15.16219092]
241	[15.16161692]
242	[15.16104475]
243	[15.16047439]
244	[15.15990586]
245	[15.15933914]
246	[15.15877422]
247	[15.1582111]
248	[15.15764977]
